 ip is valid! -> 	192\00168\000\001
 ip is valid! -> 	10\000\000\001
 ip is valid! -> 	172\0016\000\001
 ip is valid! -> 	192\00168\001\001
 ip is valid! -> 	192\00168\000\00100
 ip is valid! -> 	10\000\000\00100
 ip is valid! -> 	172\0016\000\00100
 ip is valid! -> 	192\00168\001\00100
 ip is valid! -> 	192\00168\000\0010
 ip is valid! -> 	10\000\000\0010
 ip is valid! -> 	172\0016\000\0010
 ip is valid! -> 	192\00168\001\0010
 ip is valid! -> 	192\00168\000\0020
 ip is valid! -> 	10\000\000\0020
 ip is valid! -> 	172\0016\000\0020
 ip is valid! -> 	192\00168\001\0020
 ip is valid! -> 	192\00168\000\0030
 ip is valid! -> 	10\000\000\0030
 ip is valid! -> 	172\0016\000\0030
 ip is valid! -> 	192\00168\001\0030
 ip is valid! -> 	192\00168\000\0040
 ip is valid! -> 	10\000\000\0040
 ip is not valid -> 	256\00255.0.1
 ip is valid! -> 	172\0016\000\0040
 ip is valid! -> 	192\00168\001\0040
 ip is valid! -> 	192\00168\000\0050
 ip is valid! -> 	10\000\000\0050
 ip is valid! -> 	172\0016\000\0050
 ip is valid! -> 	192\00168\001\0050
 ip is valid! -> 	192\00168\000\0060
 ip is valid! -> 	10\000\000\0060
 ip is valid! -> 	172\0016\000\0060
 ip is valid! -> 	192\00168\001\0060
 ip is valid! -> 	192\00168\000\0070
 ip is valid! -> 	10\000\000\0070
 ip is valid! -> 	172\0016\000\0070
 ip is valid! -> 	192\00168\001\0070
 ip is valid! -> 	192\00168\000\0080
 ip is valid! -> 	10\000\000\0080
 ip is valid! -> 	172\0016\000\0080
 ip is valid! -> 	192\00168\001\0080
 ip is valid! -> 	192\00168\000\0090
 ip is valid! -> 	10\000\000\0090
 ip is valid! -> 	172\0016\000\0090
 ip is valid! -> 	192\00168\001\0090
 ip is valid! -> 	192\00168\000\00110
 ip is valid! -> 	10\000\000\00110
 ip is valid! -> 	172\0016\000\00110
 ip is valid! -> 	192\00168\001\00110
 ip is valid! -> 	192\00168\000\00120
 ip is valid! -> 	10\000\000\00120
 ip is valid! -> 	172\0016\000\00120
 ip is valid! -> 	192\00168\001\00120
 ip is valid! -> 	192\00168\000\00130
 ip is valid! -> 	10\000\000\00130
 ip is valid! -> 	172\0016\000\00130
 ip is valid! -> 	192\00168\001\00130
 ip is valid! -> 	192\00168\000\00140
 ip is valid! -> 	10\000\000\00140
 ip is valid! -> 	172\0016\000\00140
 ip is valid! -> 	192\00168\001\00140
 ip is valid! -> 	192\00168\000\00150
 ip is valid! -> 	10\000\000\00150
 ip is valid! -> 	172\0016\000\00150
 ip is valid! -> 	192\00168\001\00150
 ip is valid! -> 	192\00168\000\00160
 ip is valid! -> 	10\000\000\00160
 ip is valid! -> 	172\0016\000\00160
 ip is valid! -> 	192\00168\001\00160
 ip is valid! -> 	192\00168\000\00170
 ip is valid! -> 	10\000\000\00170
 ip is valid! -> 	172\0016\000\00170
 ip is valid! -> 	192\00168\001\00170
 ip is valid! -> 	192\00168\000\00180
 ip is valid! -> 	10\000\000\00180
 ip is valid! -> 	172\0016\000\00180
 ip is valid! -> 	192\00168\001\00180
 ip is valid! -> 	192\00168\000\00190
 ip is valid! -> 	10\000\000\00190
 ip is valid! -> 	172\0016\000\00190
 ip is valid! -> 	192\00168\001\00190
 ip is valid! -> 	192\00168\000\00200
 ip is valid! -> 	10\000\000\00200
 ip is valid! -> 	172\0016\000\00200
 ip is valid! -> 	192\00168\001\00200
 ip is valid! -> 	192\00168\000\00210
 ip is valid! -> 	10\000\000\00210
 ip is valid! -> 	172\0016\000\00210
 ip is valid! -> 	192\00168\001\00210
 ip is valid! -> 	192\00168\000\00220
 ip is valid! -> 	10\000\000\00220
 ip is valid! -> 	172\0016\000\00220
 ip is valid! -> 	192\00168\001.0
